,genes
1251,KCTD2
1252,GAS8
1253,LSM2
1254,GABARAP
1255,PTPN4
1256,USP19
1257,DOCK11
1258,C2CD4C
1259,SPOCK3
1260,SNX10
1261,PHLDA3
1262,PTK2
1263,SUCO
1264,FUOM
1265,ACTA1
1266,PLEKHJ1
1267,SYT3
1268,IGFN1
1269,TTC22
1270,KLK10
1271,ZSWIM4
1272,SVOP
1273,TBC1D10A
1274,MLLT11
1275,AKAP8
1276,DYRK3
1277,RBM11
1278,PPP2R1B
1279,FAM171B
1280,EEF2K
1281,HSPB8
1282,CCNE2
1283,NGDN
1284,PBX1
1285,C2CD4D
1286,ARL13B
1287,SLC39A10
1288,SLITRK3
1289,ATP13A2
1290,USP11
1291,B4GALT2
1292,STMN4
1293,DGKA
1294,B2M
1295,ZAR1
1296,ISG15
1297,GLB1L2
1298,NIT2
1299,LDLRAP1
1300,STXBP1
1301,WNT3
1302,MYCBP2
1303,YWHAB
1304,DENND5B
1305,ARID3A
1306,TNFAIP3
1307,GDPD2
1308,STK35
1309,PIAS3
1310,MADD
1311,TRIB3
1312,GPSM1
1313,ONECUT2
1314,GBE1
1315,EPHA6
1316,LRRC4C
1317,ATP2C1
1318,KIF26B
1319,ARL4C
1320,IGF1
1321,RABIF
1322,AGPAT1
1323,NOS2
1324,BAIAP3
1325,DLX1
1326,ALDH1A3
1327,TEX30
1328,ATL2
1329,LDLR
1330,UGDH
1331,EGLN3
1332,CDK16
1333,CAMK1G
1334,GPR4
1335,FNDC4
1336,PLXNA4
1337,ZNF773
1338,MAPK11
1339,ALDOA
1340,OPCML
1341,AHSA1
1342,GABRB3
1343,USP24
1344,ATP4A
1345,ZNF385B
1346,CCDC6
1347,ADAMTSL1
1348,FOXJ1
1349,THSD7B
1350,FBXL18
1351,TMTC4
1352,BRICD5
1353,CABP7
1354,OCEL1
1355,TANGO6
1356,FAM102A
1357,SEC24C
1358,PDIA6
1359,RAP1GAP2
1360,GAS7
1361,CYP20A1
1362,CLIP1
1363,CAMK4
1364,RNF4
1365,PROSER2
1366,ARHGAP39
1367,METTL8
1368,URGCP
1369,RAB38
1370,PKMYT1
1371,CPSF6
1372,TBC1D23
1373,PDK4
1374,CENPT
1375,CLCN5
1376,CYP39A1
1377,STAT6
1378,DONSON
1379,ARHGDIA
1380,CELF4
1381,MROH1
1382,MYLK
1383,SUSD5
1384,VPS37C
1385,DPYSL2
1386,TRIM27
1387,TLE1
1388,RAB11B
1389,ANXA5
1390,ZSWIM6
1391,ZIC2
1392,CCDC122
1393,QDPR
1394,TAP1
1395,CEP57
1396,POLE
1397,BOP1
1398,MGAT5B
1399,GSTM4
1400,GRIK5
1401,COX17
1402,RAMP1
1403,DDAH2
1404,ARHGEF28
1405,SLC6A6
1406,TSPAN2
1407,ARMC10
1408,GDNF
1409,NOS1
1410,ATL1
1411,TMEM132B
1412,GDF10
1413,C11orf68
1414,SLITRK2
1415,SEC11A
1416,TOMM20L
1417,PACRG
1418,GABRD
1419,CNR1
1420,ANO4
1421,SPEG
1422,PENK
1423,RMND5A
1424,RSPH1
1425,ST3GAL2
1426,NBEA
1427,IRS1
1428,TBC1D14
1429,LASP1
