,genes
1605,TNFAIP1
1606,GNAI1
1607,SAMD5
1608,IQCK
1609,TRPM2
1610,PEG10
1611,CASP8AP2
1612,MIS18BP1
1613,UTRN
1614,KIF21B
1615,SCAMP3
1616,PARM1
1617,ACSS2
1618,FAT3
1619,PTN
1620,MAST3
1621,ACVR1C
1622,ZNF131
1623,DENND4C
1624,BMPER
1625,TLR1
1626,ST3GAL3
1627,TM6SF1
1628,ALKBH2
1629,PDHX
1630,HEBP1
1631,TSKU
1632,IL17RD
1633,ZBTB7A
1634,DDX3X
1635,COQ9
1636,WDR45
1637,AGER
1638,ARPC1B
1639,ACTL6B
1640,PAQR3
1641,SAMD9L
1642,ANKS1A
1643,TNFRSF4
1644,IGFBP2
1645,PPIG
1646,NEURL1B
1647,ARHGAP44
1648,TMUB2
1649,NUP35
1650,RAB3GAP2
1651,GALNT14
1652,FCGR2A
1653,ACADS
1654,CETN3
1655,SKP2
1656,KLF13
1657,PTGES
1658,TWIST1
1659,NXPE3
1660,URM1
1661,TMEM150C
1662,MFHAS1
1663,GMPR
1664,LIMA1
1665,ZMYND10
1666,MTMR3
1667,TBC1D30
1668,ADPRHL1
1669,MMAA
1670,HAGH
1671,CIB2
1672,ATRN
1673,COQ4
1674,RNF144A
1675,ITPR1
1676,NDRG4
1677,CALML4
1678,USP28
1679,ENO3
1680,NTSR2
1681,ERCC2
1682,NFIX
1683,YIPF4
1684,BLMH
1685,TMEM169
1686,VPS16
