,genes
1641,ZNF408
1642,RPL15
1643,SLC19A2
1644,TP53BP2
1645,SLC27A2
1646,CHPF2
1647,DOK2
1648,CUL7
1649,WDR47
1650,RNF152
1651,PRKCG
1652,MPDZ
1653,OXSM
1654,C2CD2L
1655,ZNF217
1656,SPC25
1657,YPEL4
1658,ZNF831
1659,CNST
1660,PPM1F
1661,CDK10
1662,VIPR1
1663,TMEM229A
1664,ETS2
1665,SYTL4
1666,MARK2
1667,UNC119
1668,NRG2
1669,ARX
1670,DLX2
1671,TCERG1
1672,DIO3
1673,CNOT6L
1674,FERMT2
1675,ACSF3
1676,ABCC10
1677,ZBTB17
1678,PRNP
1679,GRK6
1680,ZNF354C
1681,ANKH
1682,SBSN
1683,NRCAM
1684,TUBG1
1685,PAQR9
1686,LRRC3B
1687,CYB5R2
1688,S100A10
1689,ITM2A
1690,ZBTB21
1691,CA3
1692,NT5DC1
