,genes
1517,PCDHGA2
1518,HSPB11
1519,PHLPP1
1520,ATP8B1
1521,IL12RB2
1522,SMARCD3
1523,WDR70
1524,FYB1
1525,MPP4
1526,STRADB
1527,BZW1
1528,PGR
1529,C1QTNF3
1530,ME2
1531,C5orf22
1532,CCNT2
1533,FAM135A
1534,COL19A1
1535,EPB41L3
1536,COBLL1
1537,DLG3
1538,KCNK2
1539,SERTAD4
1540,TRAF5
1541,MRPL22
1542,GEMIN5
1543,OPRK1
1544,NFE2L1
1545,SEMA5B
1546,GSK3B
1547,ITGB5
1548,ERC1
1549,XPO1
1550,LINC01587
1551,RNF13
1552,TRPM3
1553,PALB2
1554,LYRM2
1555,BCKDHB
1556,KAT6A
1557,ULK2
1558,GRHL2
1559,TNPO1
1560,PLOD1
1561,P2RX5
1562,ITGAE
1563,DIS3
1564,PIBF1
1565,TDRD3
1566,NUFIP1
1567,PDS5B
1568,OXCT1
1569,RRAGB
1570,EPYC
1571,CYLD
1572,SLC27A5
1573,ZNF324
1574,ZNF671
1575,ZNF416
1576,ZNF586
1577,ZNF446
1578,ZNF264
1579,RPS5
1580,FAT1
1581,YTHDC1
1582,CHMP2B
1583,SMAP2
1584,PPIE
1585,ZMPSTE24
1586,STARD7
1587,NOA1
1588,REST
1589,HAL
1590,SSH1
1591,GSTP1
1592,APLP2
1593,FAM234B
1594,SLCO1A2
1595,WBP11
1596,EIF3I
1597,NKAIN1
1598,COL16A1
1599,TXLNA
1600,APOB
1601,NCOA1
1602,AGBL5
1603,EFR3B
1604,KIF3C
1605,RAB10
1606,GCKR
1607,HADHA
1608,MAPRE3
1609,CAD
1610,CD59
1611,CD82
1612,BCORL1
1613,ATRX
1614,AK6
1615,FCN1
1616,MYNN
1617,MECOM
1618,SCAMP1
1619,PREP
1620,HACE1
1621,SEH1L
1622,WDR47
1623,WDFY1
1624,OVGP1
1625,SLC25A24
1626,MAP3K4
1627,PILRA
1628,IGSF9
1629,ABCB1
1630,ZNF213
1631,AKR1B1
1632,CPNE3
1633,RRN3
1634,CTTN
1635,WNT11
1636,MTIF2
1637,DDHD2
1638,TTC39A
1639,EPS15
1640,ORC1
1641,MGST2
1642,CHERP
1643,ATG16L1
1644,USP40
1645,POMGNT1
1646,RAD54L
1647,MAST2
1648,DNAJA1
1649,B4GALT1
1650,CHMP5
1651,NFX1
1652,AQP6
1653,DIMT1
1654,FOLH1
1655,EIF2AK1
1656,NME8
1657,EPDR1
1658,SNX10
1659,SEPHS1
1660,MRPL28
1661,HBQ1
1662,ITPKC
1663,CEACAM6
1664,FAT2
1665,RBM22
1666,TMED2
1667,ERO1B
1668,ZFAND6
1669,HSD17B2
1670,TXLNG
1671,PPEF1
1672,LAT2
1673,HUWE1
1674,ZW10
1675,ALG9
1676,MYBPC2
1677,NOX4
1678,ACOX3
1679,MTMR2
1680,PPP1R15A
1681,HSD17B14
1682,TRIP6
1683,ACHE
1684,FTL
1685,SRRT
1686,BAX
1687,NLK
1688,PIGS
1689,ADAMTS2
