,genes
1166,AIM1L
1167,UBXN11
1168,MOGAT1
1169,TJAP1
1170,RPL15
1171,TMEM167A
1172,MPLKIP
1173,KIF11
1174,RPA3
1175,TNPO3
1176,TTLL5
1177,ZNF175
1178,RETN
1179,ACPT
1180,RPS5
1181,Adgrl1
1182,AMOTL1
1183,ETV5
1184,GFOD2
1185,ENKD1
1186,ATP6V0D1
1187,PTPRS
1188,SLC41A1
1189,IGLON5
1190,Zfp651
1191,NELFB
1192,TMEM175
1193,BCAS1
1194,TANGO2
1195,ALDH1A2
1196,NDUFS2
1197,ATRAID
1198,CAD
1199,SH3BP5L
1200,ATAD1
1201,PTEN
1202,PEA15
1203,TIMM23
1204,TNFAIP8L2
1205,TRNT1
1206,Ly6g6e
1207,EHMT2
1208,ELOF1
1209,MED16
1210,ST3GAL1
1211,TMEM259
1212,RNF170
1213,CLIP3
1214,MYL2
1215,DEDD
1216,NIT1
1217,PRDM15
1218,RNF168
1219,TCTEX1D2
1220,CHP1
1221,KLHL3
1222,TVP23B
1223,DNAJC7
1224,CACYBP
1225,CLUAP1
1226,ZSWIM7
1227,PIGL
1228,NDUFA2
1229,PAM16
1230,GLIS2
1231,Cox6c
1232,BICC1
1233,UBE2Z
1234,TMEM87B
1235,ANAPC1
1236,MERTK
1237,TSG101
1238,HPS5
1239,MAP3K4
1240,PIEZO1
1241,RNF166
1242,ANKRD28
1243,ANKRD52
1244,PKD2L2
1245,SRP19
1246,WDFY2
1247,Rbsn
1248,MRPS25
1249,DGUOK
1250,CAMTA1
1251,CSF1
1252,STRIP1
1253,KIF1A
1254,ALX3
1255,SLC25A11
1256,CMC2
1257,CHFR
1258,TEX261
1259,FAM120B
1260,TBP
1261,PSMB1
1262,PDCD2
1263,DLL1
1264,NOL3
1265,Fhod1
1266,PLEKHG4
1267,SLC9A5
1268,ELMO3
1269,STC1
1270,X4931428F04Rik
1271,TPPP3
1272,MSH3
1273,ADAMTS13
1274,TMEM208
1275,E2F4
1276,SURF4
1277,SURF2
1278,DNAJB9
1279,NAF1
1280,YES1
1281,PPP1CB
1282,GORASP2
1283,TSEN15
1284,EFR3A
1285,TRAPPC2L
1286,ACSF3
1287,DDX19A
1288,GALNS
1289,GATA2
1290,C8G
1291,ENTPD2
1292,RABL6
1293,PTGDS
1294,EDF1
1295,CLIC3
1296,NPDC1
1297,FBXW5
1298,SLC25A13
1299,UBE2I
1300,TSR3
1301,UNKL
1302,LRRK1
1303,ALDH1A3
1304,ACTN1
1305,SIRT2
1306,HNRNPL
1307,Nolc1
1308,CASD1
1309,CNKSR3
1310,MTMR1
1311,Hmgb3
1312,MAP2
1313,Cyp2j9
1314,ABCA1
1315,NIPSNAP3A
1316,Lage3
1317,Ubl4a
1318,GDI1
1319,SASH1
1320,GADD45B
1321,SLAMF6
1322,ZDHHC12
1323,ENDOG
1324,CYBB
1325,GOLGA7
1326,XK
1327,PCOLCE2
1328,CD48
1329,CLPX
1330,TRABD
1331,DENND6B
1332,CD83
1333,ACE2
1334,ATF6B
1335,EGFL8
1336,NOTCH4
1337,PPT2
1338,Prrt1
1339,RNF5
1340,FAM163A
1341,CACFD1
1342,HIVEP2
1343,ARNT
1344,MOCS2
1345,NAT9
1346,LPL
1347,ATP6V0E1
1348,ZNF318
1349,TTBK1
1350,SRF
1351,LAMA5
1352,STEAP2
1353,HSPA8
1354,SERAC1
1355,PDZD11
1356,PSMA2
1357,MRPL32
1358,SETDB1
1359,ANXA9
1360,ARNT2
1361,PRUNE
1362,CERS2
1363,CAPZA2
1364,PLEKHO1
1365,VPS45
1366,PRPF3
1367,Anp32e
1368,APH1A
1369,TAB2
1370,PPIL4
1371,CNIH1
1372,EPS8
1373,MED22
1374,SURF1
1375,MED28
1376,QDPR
1377,GNRH1
1378,TNR
1379,SQSTM1
1380,NFE2L2
1381,RXRG
1382,RXRA
1383,ADAMTSL4
1384,Fcrls
1385,PRPSAP1
1386,Fam184b
1387,NCAPG
1388,LCORL
1389,LTA4H
1390,AMDHD1
1391,DSTN
1392,H2AFY
1393,Gtf2ird2
1394,BOLA1
1395,GATSL2
1396,FCGR1A
1397,NCF1
1398,WNT11
1399,ADSS
1400,IL17RB
1401,CACNA1D
1402,CHDH
1403,ACTR8
1404,LRRC27
1405,STK32C
1406,FNTA
1407,SKIV2L2
1408,LBP
1409,CELSR1
1410,FLI1
1411,STARD13
1412,TENM1
1413,CAMK1G
1414,DIEXF
1415,HSD11B1
1416,SYT14
1417,H2.M3
1418,LONRF3
1419,Atp5e
1420,NELFCD
1421,CTSZ
1422,SLMO2
1423,SERTAD4
1424,UBE2A
1425,SLC25A5
1426,PPDPF
1427,KCNQ2
1428,EEF1A2
1429,COL20A1
1430,PLS3
1431,MPPED2
1432,NKAP
1433,NDUFA1
1434,E2F3
1435,CR1L
1436,PPFIBP1
1437,CD46
1438,CD34
1439,PLGRKT
1440,CD274
1441,GTF3A
1442,MTIF3
1443,LNX2
1444,DYRK3
1445,MAPKAPK2
1446,LAMP2
1447,ATXN10
1448,FOXRED2
1449,EIF3D
1450,NUP50
1451,PHF21B
1452,IFT27
1453,PACSIN2
1454,TTLL12
1455,SCUBE1
1456,TOX4
1457,MRPS18C
1458,SULF1
1459,SRSF6
1460,PLCG1
1461,KCTD2
1462,KCTD5
1463,ETAA1
1464,MATN4
1465,RBPJL
1466,SDC4
1467,IL13RA1
1468,NBR1
1469,CYTH1
1470,RND3
1471,BRCA1
1472,CNTNAP1
1473,NT5C3B
1474,COA3
1475,MED24
1476,PSMD3
1477,EXOSC10
1478,GLOD4
1479,VPS53
1480,TAOK1
1481,DNTTIP1
1482,ACOT8
1483,MPP2
1484,VTN
1485,NLK
1486,TRAF4
1487,ALDOC
1488,STAC2
1489,RPL19
1490,NEK8
1491,CACNB4
1492,PLXDC1
1493,ARL5B
1494,ZNF207
1495,PSMD11
1496,C1QTNF1
1497,PIPOX
1498,TIMP2
1499,ZC3H18
1500,TOP2B
1501,RARB
1502,IGFBP4
1503,CDC6
1504,SUZ12
1505,ATAD5
1506,CRLF3
1507,TNFAIP1
1508,ABR
1509,RAB11FIP4
1510,CD40
1511,SLC35C2
1512,ZNF334
1513,ELMO2
1514,WSB1
1515,TTPAL
1516,RHOT1
1517,RHBDL3
1518,ADA
1519,SERINC3
1520,Tha1
1521,PGS1
1522,BIRC5
1523,AFMID
1524,PIGT
1525,ETV4
1526,DBNDD2
1527,MMP9
1528,SLC12A5
1529,GHDC
1530,PLTP
1531,SLC12A7
1532,CTSA
1533,ZSWIM1
1534,SLC12A4
1535,SPATA25
1536,MYO1C
1537,CRK
1538,Cox7c
1539,PITPNA
1540,MLX
1541,FAM134C
1542,JPH2
1543,DHX58
1544,RAB5A
1545,NKIRAS2
1546,Ppp2r5c
1547,IFT52
1548,MYBL2
1549,SGK2
1550,EYA2
1551,B4GALT5
1552,GDAP1L1
1553,PTGIS
1554,CADPS2
1555,DDX27
1556,CYTH3
1557,CYTH4
1558,RAC3
1559,RRP7A
1560,Cyb5r3
1561,INTS2
1562,MED13L
1563,HIST1H2BI
1564,BAIAP2L2
1565,MAFK
1566,MED1
1567,ERBB3
1568,STARD3
1569,MFNG
1570,VMP1
1571,UCHL5
1572,GLRX2
1573,TROVE2
1574,STK4
1575,PMP22
1576,GDF9
1577,Zcchc10
1578,PSMB6
1579,SPAG7
1580,PFN1
1581,TOMM34
1582,YWHAB
1583,KSR1
1584,GPX3
1585,ANXA6
1586,ZNF18
1587,KPNA2
1588,SMURF2
1589,CEP95
1590,VEZF1
1591,CUEDC1
1592,SRSF1
1593,ABI3
1594,SHROOM1
1595,KIF3A
1596,SEPT8
1597,MTMR4
1598,MRM1
1599,MAPT
1600,KANSL1
1601,GID4
1602,MYO1B
1603,DHX40
1604,YPEL2
1605,AKAP1
1606,NOL11
1607,DERL2
1608,C1QBP
1609,RPAIN
1610,X6330403K07Rik
1611,SLC13A3
1612,KCNAB3
1613,CHD3
1614,KDM6B
1615,APPBP2
1616,ADORA2B
1617,NCOR1
1618,TRPV2
1619,CENPV
1620,PCGF2
1621,CWC25
1622,PIP4K2B
1623,TRIM37
1624,YBX2
1625,CTDNEP1
1626,ELP5
1627,GABARAP
1628,X2810408A11Rik
1629,PHF23
1630,ACADVL
1631,G3BP1
1632,ATOX1
1633,GLRA2
1634,SPARC
1635,MIEF2
1636,TBX3
1637,CRHR1
1638,DUSP14
1639,TADA2A
1640,IKZF1
1641,PNPO
1642,COG1
1643,CBX1
1644,CDK5RAP3
1645,COPZ2
1646,SLC25A39
1647,SP2
1648,AATF
1649,DYNC1H1
1650,PEX12
1651,NDEL1
1652,SLC25A35
1653,ZBTB4
1654,Tnfsfm13
1655,MPDU1
1656,FXR2
1657,ATP5G3
1658,CD68
1659,ACSL1
1660,ABCA5
1661,SMYD4
1662,LSP1
1663,ZFYVE27
1664,AVPI1
1665,SFRP5
1666,MYH11
1667,RAD51D
1668,UNC45B
1669,PANK3
1670,RARS
1671,WWC1
1672,ICT1
1673,FDXR
1674,SULT4A1
1675,MRPL45
1676,IRF1
1677,SLC22A5
1678,P4HA2
1679,ARRB1
1680,TM4SF5
1681,CXCL16
1682,PELP1
1683,MED11
1684,Ccl6
1685,Natd1
1686,MAP2K3
1687,YWHAH
1688,SART3
1689,E2F2
1690,NARS2
1691,SLC35B4
1692,DNAH1
1693,DALRD3
1694,FIS1
1695,PLOD1
