,genes
867,MID1IP1
868,CPEB4
869,TMEM169
870,ACSS2
871,BCKDK
872,CHD7
873,SYT1
874,PCGF1
875,CROT
876,ATP6V1H
877,ABHD12B
878,RPS6KA2
879,ROM1
880,DNAH2
881,CYS1
882,STX5
883,CA11
884,MARK3
885,SPSB3
886,ATAD3A
887,SLC8A2
888,GAS2L3
889,TGFA
890,PRKCA
891,CCDC34
892,GRINA
893,MMP15
894,TSHZ2
895,FAM228B
896,CDH13
897,SOBP
898,HIBCH
899,HPCAL4
900,UGCG
901,TMEM123
902,WDR45
903,ATP1B1
904,KBTBD4
905,ANO5
906,TOMM40L
907,MSANTD1
908,PHLDB1
909,RAB11FIP5
910,CCNG2
911,RASL10A
912,KIAA1522
913,SPOP
914,PCYT1B
915,CHTF8
916,APOO
917,CHST11
918,SIN3B
919,COPS3
920,RLBP1
921,MGAT4B
922,PAQR3
923,ACVR1C
924,TTLL1
925,ZNF239
926,LRRC47
927,NHLRC2
928,EGR4
929,DUSP2
930,SERPINF1
931,RNF31
932,EPHA6
933,SMYD1
934,PRICKLE1
935,KSR2
936,KIT
937,LAMA5
938,TMEM144
939,ELFN2
940,KCNJ2
941,ST8SIA3
942,PAG1
943,SPC24
944,IL13RA2
945,ATP7A
946,SLC25A4
947,PLK1
948,NPNT
949,PDZRN3
950,SIX4
951,MICU3
952,HMMR
953,NTMT1
954,PRTN3
955,VSTM2L
956,RHBDD1
957,PPM1F
958,GAS2L1
959,KCNJ11
960,ST3GAL3
961,TP53BP2
962,VEGFC
963,SGK1
964,CNOT8
965,NOS2
966,SHOX2
967,KCNT1
968,CCNI
969,FBXL4
970,PRRX1
971,YDJC
972,NCEH1
973,LSM5
974,NFYC
975,CAMK1
976,RBBP7
977,CA14
978,NRG4
979,DYRK2
980,INSM1
981,FIBIN
982,ATXN2
983,AQP6
984,ALKBH4
985,ORC6
986,TUBG1
987,ERAL1
988,TMEM215
989,B3GALT1
990,CHST8
991,MPP6
992,LRRC28
993,ZIK1
994,BLM
995,PRMT7
996,CPNE1
997,HHAT
998,BPNT1
999,ACTR1B
1000,TCEA2
1001,MPP2
1002,PPM1G
1003,PLEKHB1
1004,GPI
1005,CPSF6
1006,STRIP1
1007,HIPK2
1008,ARHGAP28
1009,MAL
1010,CD47
1011,NDRG3
1012,CPT1C
1013,PKIB
1014,TRIM3
1015,CCDC138
1016,TMEM60
1017,RHEB
1018,NECAB1
1019,XRCC6
1020,DHX16
1021,CRIP3
1022,ZFYVE21
1023,CELF4
1024,VIT
1025,DPH6
1026,TSKU
1027,RYR3
1028,KCNB1
1029,NDUFS1
1030,LCP1
1031,CSMD2
1032,ARL10
1033,PPARGC1B
1034,TMEM132E
1035,TMEM178B
1036,KCTD13
1037,OPN3
1038,KIF9
1039,NCAPG2
1040,DMKN
1041,MYO5B
1042,TMC6
1043,SLC35D3
1044,ZNF667
1045,GRIN2B
1046,VARS2
1047,OTX2
1048,UHRF2
1049,GID8
1050,TEX10
1051,GPRIN3
1052,ZNF142
1053,WDR54
1054,CDK11A
1055,ADAM9
1056,EML5
1057,PPP5C
1058,BCHE
1059,CHST3
1060,TXNDC16
1061,SARS2
1062,RANBP9
1063,HAPLN3
1064,MSL3
1065,COL11A1
1066,AGFG2
1067,ERBB4
1068,DTWD2
1069,PMPCB
1070,VIP
1071,DCAF10
1072,ZBTB17
1073,NR4A2
1074,DPP10
1075,FXYD6
1076,NETO1
1077,STXBP4
1078,COPZ2
1079,MED6
1080,PRSS16
1081,PPP1R1A
1082,ZMYM2
1083,OSBPL9
1084,BMP2K
1085,COLEC12
1086,PPP1R15A
1087,KCNS2
1088,TTC39B
1089,ZNF689
1090,SYT17
1091,SLC25A25
1092,DCAF5
1093,BLVRA
1094,DNMT1
1095,PTN
1096,ANKRD6
1097,KLHL22
1098,SNTG1
1099,TMED3
1100,TMEM38B
1101,CAMK2B
1102,CTU2
1103,EXOSC9
1104,CAMKK2
1105,GPT2
1106,AP1S1
1107,TRAK1
1108,SDC2
1109,VCAN
1110,BRINP3
1111,PUS7
1112,MTFR2
1113,TAZ
1114,NUP155
1115,TMEM200A
1116,IFT74
1117,ANKS1A
1118,FAM111A
1119,PPIH
1120,ARHGDIG
1121,CERS6
1122,FOXK1
1123,OSGEP
1124,SSTR2
1125,NR1D2
1126,PRDM8
1127,GOLGA7B
1128,BRINP2
1129,RPS6KC1
1130,WNT9B
1131,TNC
1132,HEMK1
1133,KCNJ3
1134,RPRM
1135,ZNF521
1136,LEO1
1137,LGMN
1138,SNN
1139,FAT4
1140,SAMM50
1141,AGO4
1142,ABCB8
1143,ATF4
1144,TRAF3
1145,PGP
1146,SGPP2
1147,CACNG2
1148,GNPDA2
1149,RASGRP3
1150,MCTP1
1151,PPP1R14A
1152,ZFP14
1153,RPE65
1154,COL9A2
1155,AFAP1
1156,DDX27
1157,DDN
1158,BACE2
1159,ULK2
1160,SPATS2L
1161,BEND6
1162,G6PD
1163,AFP
1164,NTSR1
1165,GRB10
1166,RPUSD1
1167,TMEM170B
1168,USP35
1169,KIF13A
1170,SHD
1171,CCNO
1172,GRID2IP
1173,METTL6
1174,OXCT1
1175,HECTD2
1176,KLRG1
1177,INPP5E
1178,CSAD
1179,MME
1180,LY96
1181,CACNA1E
1182,SPPL3
1183,SLCO4A1
1184,VWA5A
1185,TMEM71
1186,DTX1
1187,MAD1L1
1188,WSCD2
1189,CABYR
1190,BARD1
1191,LGALSL
1192,MBOAT2
1193,XRCC1
1194,AGMO
1195,SLC1A1
1196,RAVER2
1197,C16orf70
1198,COLQ
1199,RILPL2
1200,CAPN1
1201,HES5
1202,DLX6
1203,KIAA1217
1204,SPIRE1
1205,TMUB2
1206,TSPEAR
1207,ELP5
1208,GABRA6
1209,LPCAT3
1210,TSPAN18
1211,HRH1
1212,PNPLA6
1213,CNIH1
1214,SLC25A38
1215,STARD5
1216,EVL
1217,TMEM176A
1218,NKRF
1219,MAPK10
1220,ASIC2
1221,MPP5
1222,LRRC55
1223,TFAP2D
1224,TST
1225,SLC35C1
1226,CPEB3
1227,FAM169A
1228,HERC1
1229,TBL2
1230,FANCG
1231,ABHD17C
1232,SERPINH1
1233,TEPP
1234,FBXL15
1235,DCXR
1236,COPS4
1237,KCNN1
1238,GPD1
1239,ALS2CL
1240,SPTSSA
1241,SCML4
1242,CRH
1243,KLK6
1244,AMT
1245,TNFRSF4
1246,EPHB6
1247,ANKRD9
1248,TUBGCP2
1249,FGFR1OP2
1250,GFRA2
1251,TMEM141
1252,RPAP1
1253,GMIP
1254,TMEM86B
1255,IGFBP5
1256,SLITRK1
1257,ARF5
1258,COASY
1259,MEST
1260,TEFM
1261,LINGO1
1262,JAG2
1263,TMEM132A
1264,ARHGEF11
1265,SCAI
1266,ATP13A2
1267,PPFIBP1
1268,ATF7IP
1269,BEST1
1270,DPYS
1271,FUOM
1272,DBF4
1273,BEAN1
1274,RNF24
1275,NDUFAF4
1276,MDGA2
1277,DGKG
1278,TBL3
1279,ATP6V0A1
1280,RNF157
1281,SYNGR3
1282,MAPKAPK5
1283,GBA2
1284,EPG5
1285,VGLL3
1286,SCG3
1287,MAVS
1288,RAB3C
1289,DAAM1
1290,PCID2
1291,AK5
1292,TCEAL5
1293,ZSWIM7
1294,JUP
1295,SCG5
1296,CCNYL1
1297,VHL
1298,LRRN3
1299,ACOT4
1300,ARPP19
1301,ASB13
1302,PDGFA
1303,PSMD4
1304,TAF15
1305,ACTL6B
1306,KCND3
1307,SV2C
1308,TRMT2B
1309,ZNRF1
1310,MRPS2
1311,SPATA7
1312,LAP3
1313,STRN4
1314,KLHL29
1315,CADM3
1316,ZMYND19
1317,DGKB
1318,IRS1
1319,CD82
1320,WLS
1321,HEYL
1322,PTPRS
1323,VPS37B
1324,MED16
1325,CTSO
1326,KCNJ8
1327,STK25
1328,ASXL1
1329,ARHGEF9
1330,SRPX
1331,KATNAL2
1332,FBXO45
1333,RAB27B
1334,SYNPO2
1335,CHRM3
1336,MCF2
1337,STAMBPL1
1338,IP6K3
1339,PAQR9
1340,ZNF382
1341,MYPOP
1342,MTF2
1343,FIBP
1344,NRCAM
1345,NGEF
1346,RRAGD
1347,SERP2
1348,KLHL2
1349,PRR14
1350,PAK3
1351,PFKFB2
1352,PRKCB
1353,DAB2
1354,CEP170
1355,HIP1
1356,TOP3B
1357,ASGR1
1358,FRMD6
1359,TXLNB
1360,EIF2B2
1361,HSPB3
1362,SLC2A6
1363,SERPINB1
1364,DLGAP2
1365,EFR3A
1366,MAP4
1367,ATG14
1368,PDGFB
1369,ACVR2B
1370,PPAT
1371,ACOT12
1372,CBLN2
1373,FBXL2
1374,PRC1
1375,CFP
1376,RRAS2
1377,TMEM200C
1378,EPS8
1379,HPRT1
1380,PTCHD4
1381,ONECUT2
1382,CNN1
1383,AP2M1
1384,SLC16A14
1385,SMC4
1386,MDH1B
1387,SPRY1
1388,ULK3
1389,EXOC6B
1390,CHCHD7
1391,SPNS2
1392,PI16
1393,SNX32
1394,TMEFF2
1395,ERRFI1
1396,HSPA12A
1397,GSTO2
1398,SYNE1
1399,SOX14
1400,GMPR2
1401,CDH23
1402,VRK2
1403,RGPD1
1404,PER1
1405,NUP85
1406,ALDH3B1
1407,TCOF1
1408,CACNA1H
1409,BMP2
1410,RPS6KA1
1411,GALNT18
1412,FCHSD2
1413,NAA10
1414,ZNF263
1415,CSRNP3
1416,CDC5L
1417,ADRA2A
1418,GFAP
1419,RTN4IP1
1420,B2M
1421,NR2C2AP
1422,GLS
1423,NCKIPSD
1424,TTLL11
1425,HMOX2
1426,ATP6V1A
1427,ARFGEF1
1428,PTPRN2
1429,ASH1L
1430,PDYN
1431,CYP7B1
1432,SESN2
1433,RPL7L1
1434,KY
1435,TMEM45A
1436,WNK1
1437,GPX3
1438,WDR90
1439,TIPRL
1440,PAFAH1B1
1441,ANXA4
1442,THSD4
1443,ZNF567
1444,FOXD1
1445,AXIN1
1446,SNRK
1447,POLR2D
1448,RAB11FIP2
1449,ZNF335
1450,MPP7
1451,TCF4
1452,PREPL
1453,QRSL1
1454,PRKG2
1455,DNAJC12
1456,DNAJC17
1457,CDC42EP1
1458,TRMT11
1459,TANC2
1460,SMS
1461,MPC1
1462,DDX31
1463,CHRNA3
1464,MYO9A
1465,CETN3
1466,PKP2
1467,KCNQ5
1468,LRRC14
1469,KLHL42
1470,FAM13C
1471,DDO
1472,CCDC78
1473,GALNT10
1474,ABCB10
1475,GABRD
1476,ZC3HAV1L
1477,RDH13
1478,CACNA1C
1479,STK33
1480,CDADC1
1481,LYPLAL1
1482,ASAP2
1483,PPP1R17
1484,ETV5
1485,SETD6
1486,ITGB1
1487,LZTS3
1488,NME5
1489,CDH3
1490,SLC37A1
1491,HCN2
1492,DNAJC16
1493,CMIP
1494,STK38L
1495,ADCK2
1496,ATP1A1
1497,ATP2B2
1498,SYT14
1499,SNX10
1500,VCAM1
1501,PEX11B
1502,KRT17
1503,CHN1
1504,EXO5
1505,GREB1L
1506,PGAM5
1507,GAK
1508,PEX14
1509,USP2
1510,MYH10
1511,GRM8
1512,GATAD2B
1513,COL23A1
1514,UNC5A
1515,SH3BP1
1516,TRAPPC6B
1517,PELI3
1518,PTBP3
1519,LRRC29
1520,CDHR3
1521,SPRED1
