,genes
771,POMGNT2
772,HFM1
773,VRK2
774,HIVEP3
775,PGAP1
776,ACTR3B
777,ZDHHC7
778,SECISBP2
779,UCK1
780,MBOAT1
781,UBQLN1
782,FLT3
783,PRR14
784,PHLDA3
785,APOD
786,CD99L2
787,ASF1A
788,MDGA2
789,CAP2
790,WDR17
791,ANAPC16
792,ANKRD34A
793,CDK20
794,TNIK
795,GRIP1
796,SYNDIG1
797,FANCL
798,TNRC6A
799,CAMKK2
800,GALNT11
801,MCTP2
802,KANK4
803,EGR2
804,CTSC
805,COG1
806,GDPD3
807,GRIA4
808,POLD4
809,TRPC1
810,CHD1
811,SLC35F4
812,ADPRH
813,TUBA4A
814,ZNF212
815,GPR88
816,ANKRD33B
817,EXPH5
818,HSPB2
819,P2RY1
820,FAT3
821,ATXN1
822,TDRKH
823,GSTO2
824,RRS1
825,PPP1R9A
826,OSBPL3
827,PRKD2
828,SBDS
829,POU6F1
830,RIC8B
831,ST3GAL4
832,NAP1L3
833,UBA1
834,RFC1
835,FAM214B
836,ABCA9
837,KREMEN1
838,LRRN2
839,KCNN3
840,SEZ6L
841,NSUN2
842,GABRA3
843,PRELID1
844,ZBTB11
845,MAGEL2
846,PXDN
847,RAB6B
848,COL6A1
849,CPNE9
850,CCDC15
851,MED6
852,UBE3D
853,CCDC113
854,PPIP5K1
855,LIMD2
856,PDZD2
857,TBPL1
858,UNC5C
859,CECR2
860,RAI1
861,TIMP2
862,SLC25A11
863,RASA2
864,ZNF91
865,VPS72
866,ANKRD34C
867,CSF1
868,OSBPL9
869,SLC25A27
870,SKI
871,ZNF367
872,MTF2
873,NAA30
874,PTPN14
875,MAGEH1
876,HMGCL
877,LSM1
878,PPL
879,ATP7A
880,EXOSC5
881,ADAT2
882,ANKEF1
883,USP24
884,TGFA
885,PSMD12
886,NR1D2
887,YIPF1
888,KCNK12
889,MBTPS1
890,TUSC3
891,KANSL1
892,FAM193A
893,MYO9A
894,IL1RAP
895,IVD
896,SLC25A29
897,LMO7
898,OSBPL8
899,SESN2
900,DCTPP1
901,GPR183
902,ARHGEF11
903,ZNF786
904,TBC1D20
905,GNPTG
906,ARL4A
907,SMG7
908,C2CD2
909,GSK3B
910,KAT6A
911,ZNF382
912,HPS4
913,POLR3B
914,DNAH8
915,MYBPC1
916,CKMT1B
917,TRIO
918,TMEM97
919,STX6
920,CTSO
921,ULK1
922,SEC16A
923,CAB39L
924,CD55
925,SMU1
926,ST8SIA1
927,ACTN2
928,CCNG2
929,DPYS
930,EPCAM
931,KLHDC8B
932,PCBP3
933,MSH2
934,ISLR2
935,UTP14A
936,KCNC1
937,SPSB3
938,MED20
939,PTPN23
940,NUDT22
941,LYN
942,UBE2H
943,DGKB
944,ARF5
945,RNF157
946,ADAMTS3
947,GSTO1
948,POLE
949,DUSP12
950,TRMT112
951,RAB3A
952,MAMDC2
953,MTRF1L
954,LRWD1
955,CACNB2
956,HS3ST1
957,SLC17A7
958,E2F5
959,GBA2
960,CDKL2
961,SPTBN2
962,HSD17B11
963,GMNN
964,TGFBR1
965,PANK4
966,IQSEC2
967,FEZF1
968,FAM161A
969,PKN3
970,DDX5
971,DAPK1
972,C2CD4C
973,SPDL1
974,SOGA1
975,PPEF1
976,FAM151B
977,HSD17B10
978,GALNTL6
979,AFF4
980,STXBP5
981,SNAP91
982,XKR6
983,ACAP3
984,ARID5B
985,KLHL11
986,ASB5
987,FAP
988,CD38
989,GPCPD1
990,CENPJ
991,NNAT
992,KLRG1
993,SPAG1
994,SCN2B
995,DHRS13
996,CHIC2
997,CLSTN3
998,CCNT2
999,STRBP
1000,PTCHD1
1001,BBS1
1002,THOC2
1003,SNX30
1004,SMIM14
1005,PPP3CA
1006,RAB37
1007,CCDC167
1008,MAN1A2
1009,TULP4
1010,RSPH9
1011,TMEM231
1012,KMT2A
1013,LMNB1
1014,SRXN1
1015,COMTD1
1016,YWHAG
1017,TSC2
1018,MMD
1019,SESTD1
1020,CHST2
1021,MFN1
1022,MAPK8
1023,RAPGEF1
1024,GLRX
1025,SMS
1026,LRAT
1027,ATRNL1
1028,PPP2R2A
1029,DLG5
1030,PIK3CG
1031,WNT4
1032,GPALPP1
1033,SLC9A5
1034,USP35
1035,TSKS
1036,ATXN7
1037,DHX32
1038,PSMB8
1039,SOWAHC
1040,NEFH
1041,ACVR2B
1042,RAVER2
1043,TCP11L1
1044,GRIN1
1045,NRIP3
1046,DHX36
1047,CBFA2T3
1048,MTRR
1049,VAMP8
1050,SH3YL1
1051,CSPG5
1052,TIMM17A
1053,TRIM11
1054,SNX25
1055,PMS2
1056,ASB6
1057,PSMD1
1058,DAD1
1059,ST3GAL3
1060,MPP3
1061,SHE
1062,CHGA
1063,CTDSP2
1064,SUPT16H
1065,SLC6A1
1066,MMP17
1067,PIM1
1068,HMGCR
1069,MPZL3
1070,EPS8L2
1071,SLC25A44
1072,FANCA
1073,BAIAP3
1074,TMEM8B
1075,LRRC4
1076,LAMB2
1077,SNRK
1078,REEP3
1079,DDA1
1080,TPD52L1
1081,TMEM176B
1082,NDRG3
1083,SGSM2
1084,FRMD4A
1085,DDX20
1086,KCNJ8
1087,TBRG1
1088,PNCK
1089,NRN1L
1090,NMT2
1091,GPAT2
1092,COX5A
1093,SDHAF2
1094,ARHGEF3
1095,NEDD4L
1096,FGF17
