,genes
1232,CNTN6
1233,HES7
1234,ACADS
1235,ZNF385A
1236,SIN3B
1237,TSPYL5
1238,KIF6
1239,FARS2
1240,HERC4
1241,TBC1D10C
1242,HYAL3
1243,NKAPL
1244,CYTL1
1245,NIF3L1
1246,EIF3K
1247,ASAP3
1248,RADIL
1249,PCYT1B
1250,OBSCN
1251,COL8A1
1252,UBQLN4
1253,PLEKHH3
1254,PDE9A
1255,TLR7
1256,SLC7A1
1257,BACE1
1258,PIK3CA
1259,PACRG
1260,BCL11B
1261,EFHB
1262,PRRX1
1263,ABCG1
1264,SGK1
1265,RCN3
1266,DRP2
1267,SYT3
1268,SLC24A2
1269,INTU
1270,RBFOX1
1271,GPX3
1272,TNFAIP6
1273,SH3GLB1
1274,LAMA4
1275,IL4I1
1276,DNAH2
1277,ANXA3
1278,HTR1F
1279,STOM
1280,ZCWPW1
1281,BCL7C
1282,TRH
1283,INSIG2
1284,PSMD3
1285,SH3KBP1
1286,TRIP10
1287,EXOC4
1288,TRIM39
1289,HIP1
1290,PRPS2
1291,PYCARD
1292,GALNT13
1293,ATRN
1294,FOCAD
1295,POMC
1296,SLC17A5
1297,DAXX
1298,CNST
1299,KCNJ10
1300,CERS6
1301,URGCP
1302,RASSF9
1303,KRBA1
1304,TMEM81
1305,PURB
1306,KIF19
1307,MAP1LC3B
1308,PDE11A
1309,CTNNB1
1310,ANO4
1311,POLD3
1312,SAMD3
1313,LEPROT
1314,MEIS2
1315,TMEM86A
1316,AGTRAP
1317,AXIN2
1318,NFIC
1319,STRN3
1320,EFHD1
1321,CEP85L
1322,RNF44
1323,ZBTB1
1324,HPRT1
1325,TSPAN5
1326,RNPEP
1327,DTX3
1328,LY6D
1329,TUBA8
1330,DCLRE1A
1331,COL22A1
1332,ADAM22
1333,COG7
1334,ITFG1
1335,SENP7
1336,ITGAM
1337,PTGER4
1338,TEX26
1339,SNX18
1340,GPBP1L1
1341,TMEM177
1342,RORA
1343,RPAP3
1344,RFC2
1345,E4F1
1346,UPF3A
1347,TM9SF3
1348,SLC7A5
1349,TBK1
1350,TTLL12
1351,MRPL4
1352,ZNF148
1353,SRL
1354,ZNF317
1355,ITPK1
1356,PREP
1357,SP5
1358,ANXA1
1359,DTX1
1360,PTP4A3
